,company_name,company_type,company_loc,company_size,job_name,job_salary,edu_level,emp_type,company_score,No
0,成都华信智原科技有限公司,民营,成都,10000人以上,大数据分析/开发/腾讯云,4K-6.5K,大专,全职,624.7644,1.0
1,广州银行股份有限公司信用卡中心,国企,广州,1000-9999人,数据分析师（模型开发）,10K-20K,本科,全职,591.72705,2.0
2,南方寝饰科技有限公司,民营,上海-金山区,1000-9999人,数据分析开发工程师,10K-15K,大专,全职,581.625,3.0
3,南京东软人才培训中心,股份制企业,南京,1000-9999人,数据分析师助理-大数据开发事业部 4K-6K,4K-6K,大专,全职,575.7485,4.0
4,华普天健会计师事务所(特殊普通合伙),民营,北京-西城区,1000-9999人,数据分析及报表开发工程师,20K-30K,本科,全职,573.3725,5.0
5,苏州软世通信息技术有限公司,民营,苏州,20-99人,数据库软件开发助理/数据分析专员  包住宿,4K-6K,大专,全职,571.9995,6.0
6,上海思勰投资管理有限公司,民营,上海,20-99人,数据分析工程师（Python软件开发）,10K-20K,本科,全职,569.4602,7.0
7,华普天健会计师事务所(特殊普通合伙),民营,合肥-政务文化新区,1000-9999人,数据分析及报表开发工程师,18K-25K,本科,全职,561.7485,8.0
8,华普天健会计师事务所(特殊普通合伙),民营,上海-浦东新区,1000-9999人,数据分析及报表开发工程师,20K-30K,本科,全职,558.10846,9.0
9,河南拓普计算机网络工程有限公司,股份制企业,郑州,500-999人,数据分析师（报表开发方向）,6K-10K,本科,全职,550.9693,10.0
10,上海国泰广告有限公司,民营,上海,100-499人,数据统计分析开发工程师,10K-15K,本科,全职,549.9126,11.0
11,中国联通,国企,武汉,10000人以上,互联网数据分析开发,校招,本科,校园,532.85175,12.0
12,小米通讯技术有限公司,合资,北京-海淀区,1000-9999人,数据分析开发工程师-电视,15K-25K,本科,全职,529.296,13.0
13,中国民生银行信用卡中心,民营,北京,1000-9999人,大数据分析与应用部数据应用开发岗,薪资面议,本科,全职,528.172,14.0
14,比亚迪股份有限公司,民营,深圳,10000人以上,大数据开发工程师数据分析、对接、前端开发,8K-15K,本科,全职,522.652,15.0
15,上海临港地区,其它,上海-浦东新区,500-999人,Web前端开发工程师（数据分析平台方向）,校招,本科,校园,517.57794,16.0
16,长江证券,其它,全国,1000-9999人,数据开发、数据分析、产品经理、产品运维、前端开发、后台开发、系统维护、系统测试等,校招,,校园,516.78534,17.0
17,中国移动,国企,武汉,1000-9999人,产品开发(大数据分析应用)湖北分公司-武汉,校招,本科,校园,515.5646,18.0
18,中国移动,国企,广州,1000-9999人,数据分析(大数据及智能服务开发)广东分公司-广州,校招,本科,校园,515.5646,19.0
19,京东集团,外商独资,北京,20-99人,区块链开发——数据检索分析方向,20K-40K,不限,全职,515.356,20.0
20,中国联通,国企,黔东南-,10000人以上,数据分析及系统开发,校招,本科,校园,512.92285,21.0
21,平安银行,股份制企业,上海,1000-9999人,BI分析及数据开发,校招,本科,校园,506.4963,22.0
22,爱奇艺（www.iqiyi.com）,民营,上海,1000-9999人,高级数据分析开发工程师,20K-35K,本科,全职,504.0,23.0
23,华夏银行股份有限公司,国企,北京-朝阳区,10000人以上,校园招聘开发/测试工程师/大数据/需求分析,薪资面议,本科,全职,494.0,24.0
24,北京柯莱特科技有限公司,外商独资,广州,1000-9999人,数据分析/大数据开发,15K-20K,大专,全职,494.0,25.0
25,青岛聚好联科技有限公司,国企,青岛,100-499人,大数据分析-云后台开发工程师,10K-20K,本科,全职,494.0,26.0
26,浙江壳牌燃油有限公司,外商独资,杭州,100-499人,世界500强 项目开发/选址拓展经理(数据分析方向）,8K-10K,本科,全职,492.4,27.0
27,北京拓普丰联信息工程有限公司,股份制企业,合肥,500-999人,数据分析开发经理岗,7K-14K,本科,全职,491.6,28.0
28,北京华信智原教育技术有限公司安徽分公司,民营,合肥,500-999人,java大数据分析实习生/开发实习生,4K-6K,不限,全职,491.012,29.0
29,安徽修补匠科技有限公司,民营,合肥,100-499人,Java开发工程师助理/大数据分析工程师双休,4K-6K,本科,全职,487.948,30.0
30,安徽品蝶网络科技有限公司,民营,合肥,100-499人,java大数据分析实习生/开发实习生,4K-6K,不限,全职,487.788,31.0
31,北京华信智原教育技术有限公司安徽分公司,民营,合肥,500-999人,大数据开发分析师五险一金+接受应届,6K-8K,大专,全职,484.64,32.0
32,现代汽车(中国)投资有限公司,外商独资,北京,100-499人,大数据中心-文本数据分析模型设计及开发,10K-15K,本科,全职,484.0,33.0
33,合肥软世通信息技术有限公司,上市公司,合肥,100-499人,大数据开发助理/大数据分析,3K-6K,大专,全职,480.88,34.0
34,上海通联金融服务有限公司,股份制企业,上海-浦东新区,100-499人,数据分析开发工程师,15K-25K,本科,全职,480.512,35.0
35,南京德俊仁广告有限公司,民营,南京,100-499人,数据分析师助理-大数据开发事业部 ,4K-6K,大专,全职,479.84,36.0
36,南京德俊仁广告有限公司,民营,南京,100-499人,数据分析/数据库开发/数据挖掘实习生、助理,4K-6K,大专,全职,478.32,37.0
37,阿里巴巴集团,合资,杭州,10000人以上,阿里健康-BI 数据分析-数据开发,薪资面议,本科,全职,474.0,38.0
38,阜宁阜惠科技信息有限公司,合资,南京,20-99人,大数据开发助理/大数据分析 可带薪实习,3.5K-5.5K,大专,全职,472.0,39.0
39,阜宁阜惠科技信息有限公司,合资,南京,20-99人,大数据开发助理/大数据分析,3.5K-5K,大专,全职,472.0,40.0
40,合肥云普信息技术有限公司,民营,合肥,100-499人,大数据开发分析师五险一金+接受应届,6K-8K,大专,全职,472.0,41.0
41,安徽修补匠科技有限公司,民营,合肥,100-499人,Java开发工程师助理/大数据分析周末双休,4K-6K,本科,全职,472.0,42.0
42,软世通信息科技集团有限公司,股份制企业,南京,100-499人,数据分析/大数据开发实习生(年底十三薪),4K-6K,大专,全职,472.0,43.0
43,杭州营拓网络科技有限公司,民营,杭州,100-499人,数据分析/数据统计/数据开发（可实习）,6K-8K,大专,全职,471.568,44.0
44,北京华信智原教育技术有限公司河南分公司,民营,郑州,1000-9999人,大数据开发、分析、算法  （郑州/北京）,13K-20K,大专,全职,471.04,45.0
45,北京中油瑞飞信息技术有限责任公司,国企,北京-东城区,1000-9999人,数据分析/报表开发工程师,10K-20K,本科,全职,470.544,46.0
46,华大基因,民营,深圳-大鹏新区,1000-9999人,生物信息研究员(组学大数据分析及工具开发),15K-25K,博士,全职,468.544,47.0
47,深圳市众谊数码科技开发有限公司,民营,深圳-龙华新区,20-99人,亚马逊服装开发/数据分析专员,6K-10K,大专,全职,467.428,48.0
48,青岛特来电新能源有限公司,上市公司,济南-高新区,1000-9999人,应届生-后台开发+数据分析工程师-济南,6K-8K,本科,全职,467.0,49.0
49,北京中油瑞飞信息技术有限责任公司,国企,北京-石景山区,1000-9999人,数据分析工程师(油气勘探开发+GIS),10K-20K,本科,全职,465.092,50.0
50,四川格睿泰思信息科技有限公司,股份制企业,成都-武侯区,100-499人,大数据分析/开发工程师（接受实习）,2.6K-3.2K,大专,全职,465.068,51.0
51,杭州华信智原教育科技有限公司,股份制企业,杭州,20-99人,大数据（开发、分析、算法）,8K-10K,本科,全职,464.824,52.0
52,苏州科达科技股份有限公司,上市公司,上海-徐汇区,1000-9999人,数据分析开发工程师,10K-15K,本科,全职,462.0,53.0
53,安徽水安建设集团股份有限公司,国企,合肥,1000-9999人,软件开发及数据分析管理员,3.6K-6.5K,本科,全职,461.12,54.0
54,杭州布理岚柏科技有限公司,民营,杭州,20-99人,高级/资深数据分析开发,15K-25K,本科,全职,460.0,55.0
55,安徽佰米智能科技有限公司,股份制企业,合肥,100-499人,大数据开发助理/大数据分析,4K-6K,大专,全职,460.0,56.0
56,大连摩比维迪视频系统有限公司沈阳办事处,股份制企业,沈阳,10000人以上,数据库开发/数据分析工程师-百度钱包,4K-6K,大专,全职,457.76,57.0
57,北京和诚永立科技有限公司,民营,北京,100-499人,大数据(开发、分析、算法),20K-30K,本科,全职,454.124,58.0
58,安徽合智信息技术有限公司,民营,合肥,,大数据开发分析师五险一金+接受应届,4K-6K,大专,全职,454.08,59.0
59,中国人寿财产保险股份有限公司山东省分公司,国企,济南-高新区,1000-9999人,需求管理岗-数据分析与开发,6K-8K,本科,全职,442.668,60.0
60,苏州乐贝网络科技有限公司上海分公司,合资,上海-长宁区,1000-9999人,高级PHP开发工程师,15K-25K,本科,全职,440.60086,61.0
61,长沙泽弘网络科技有限公司,民营,长沙,20-99人,java开发工程师,7.5K-15K,本科,全职,438.668,62.0
62,北京恒昌利通投资管理有限公司,民营,北京-朝阳区,500-999人,反欺诈数据分析师（风控),薪资面议,本科,全职,436.05582,63.0
63,广东智通阿匹欧信息科技有限公司,民营,深圳-宝安区,,产品开发高级工程师Y,10K-17K,硕士,全职,435.772,64.0
64,北京和诚永立科技有限公司,民营,北京-朝阳区,100-499人,大数据(开发、分析、算法),15K-20K,不限,全职,434.552,65.0
65,杭州小蛋壳网络科技有限公司,国企,杭州,20人以下,大数据（开发、分析、算法）,4K-6K,大专,全职,433.048,66.0
66,南宁中软教育咨询有限公司西安分公司,上市公司,西安,10000人以上,数据分析及报表开发工程师,4K-6K,本科,全职,432.0,67.0
67,同济大学,其它,上海,10000人以上,Web前端开发工程师（数据分析平台方向）,薪资面议,本科,全职,432.0,68.0
68,中国软件与技术服务股份有限公司,上市公司,北京,10000人以上,大数据开发、算法、分析（2019年校招）,2K-4K,本科,实习,428.0,69.0
69,南威软件股份有限公司,民营,福州,1000-9999人,数据分析,8K-16K,本科,全职,425.52,70.0
70,友邦保险有限公司江苏分公司,外商独资,苏州,1000-9999人,业务分析员,8K-10K,本科,全职,425.30133,71.0
71,苏州贝牛企业管理有限公司,民营,北京-海淀区,500-999人, Python开发工程师（数据分析方向）,8K-12K,本科,全职,425.084,72.0
72,北京中科特瑞科技有限公司,民营,北京,100-499人,研发工程师-大数据方向,10K-15K,不限,全职,424.14624,73.0
73,亚信科技(中国)有限公司,民营,上海,10000人以上,数据分析报表开发工程师,8K-13K,本科,全职,424.0,74.0
74,北京赛博贝斯数据科技有限责任公司,民营,北京-昌平区,20-99人,大数据开发总经理,30K-50K,本科,全职,422.3957,75.0
75,精励联讯(北京)信息技术有限公司,合资,北京,100-499人,产品需求分析师（车险大数据行业）,20K-35K,本科,全职,422.284,76.0
76,北京东方国信科技股份有限公司,上市公司,上海,1000-9999人,资深数据开发工程师（BX2）,18K-28K,本科,全职,422.17017,77.0
77,北京赛思天成科技有限责任公司,民营,北京,20-99人,大数据平台数据分析开发岗,9K-18K,本科,全职,420.628,78.0
78,杭州远眺科技有限公司,其它,杭州,20-99人,大数据开发工程师,20K-30K,本科,全职,420.37756,79.0
79,北京四方启点科技有限公司,民营,北京,100-499人,大数据分析开发工程师,20K-30K,本科,全职,420.0,80.0
80,润迅人才服务,民营,深圳-龙岗区,1000-9999人,华为备件数据分析开发工程师,8K-10K,本科,全职,420.0,81.0
81,天津(滨海)人工智能军民融合创新中心,事业单位,天津,20-99人,数据管理与分析开发工程师,10K-16K,本科,全职,419.556,82.0
82,北京广志振翼科技有限公司,民营,北京,20-99人,对日软件开发工程师(高级),20K-30K,大专,全职,419.296,83.0
83,浙江上佰电子商务有限公司,民营,杭州,100-499人,数据分析主管,7K-14K,本科,全职,417.60406,84.0
84,杭州玛源生物科技有限公司,民营,杭州-西湖区,100-499人,python运维开发实习,4K-7K,大专,全职,417.3173,85.0
85,上海翰亚股权投资基金管理有限公司,民营,上海,20人以下,后端开发工程师,10K-15K,大专,全职,414.75555,86.0
86,上海甄会选电子商务有限公司,外商独资,上海,20-99人,数据运营/数据分析主管,15K-20K,大专,全职,414.62265,87.0
87,北京中软环球信息技术有限公司,股份制企业,北京,100-499人,大数据(开发、分析、算法),10K-15K,本科,全职,414.192,88.0
88,西安科为航天科技集团有限公司,民营,西安,100-499人,仿真软件开发工程师,8K-10K,大专,全职,413.98135,89.0
89,上海开奈电子通讯有限公司,民营,福州,500-999人,大数据开发工程师,15K-20K,本科,全职,412.89725,90.0
90,广州市智蓝电子商务有限公司,民营,广州,100-499人,产品开发员,5K-10K,大专,全职,412.86252,91.0
91,北京博雅环球教育科技有限公司内蒙古分公司,民营,保定,100-499人,IT运维/大数据开发/数据分析,4K-6K,大专,全职,412.32,92.0
92,方正国际软件（北京）有限公司,合资,北京,1000-9999人,大数据开发工程师,10K-15K,本科,全职,408.40488,93.0
93,上海先鹰企业管理有限公司,民营,北京,500-999人,医疗大数据研发工程师,30K-50K,本科,全职,406.5935,94.0
94,武汉三思学道文化传播有限公司,民营,武汉,20-99人,BI/大数据分析,5.5K-10K,本科,全职,405.20044,95.0
95,山东旗帜信息有限公司,国企,济南,20-99人,【国企招聘 齐鲁交通子公司】研发工程师、 Java开发工程师,5K-10K,本科,全职,404.65625,96.0
96,上海安秉信息技术有限公司,民营,上海,500-999人,大数据开发/分析学徒-接受应届生,6K-8K,不限,全职,403.756,97.0
97,武汉畅新科技发展有限公司,股份制企业,武汉,20-99人,急聘数据开发/分析师,6K-8K,大专,全职,402.96,98.0
98,北京拓普丰联信息工程有限公司,股份制企业,郑州-金水区,500-999人,网络爬虫开发工程师,4K-7K,大专,全职,402.84927,99.0
99,山东德衡人力资源股份有限公司,股份制企业,烟台-开发区,20-99人,软件开发/数据分析/软件测试工程师,8K-10K,本科,全职,400.0,100.0
100,河南天翎科技有限公司,民营,郑州,20-99人,小程序开发工程师（做过大数据分析）,5K-10K,本科,全职,400.0,101.0
